YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,VA,Virginia,38.1,,,Less than high school,,,,"(37.54268067400045, -78.45789046299967)",Less than high school,EDU,EDUHS
2011,2011,WA,Washington,28.2,,,Less than high school,,,,"(47.52227862900048, -120.47001078999972)",Less than high school,EDU,EDUHS
2011,2011,WV,West Virginia,32.7,,,Less than high school,,,,"(38.66551020200046, -80.71264013499967)",Less than high school,EDU,EDUHS
2011,2011,WI,Wisconsin,40.5,,,Less than high school,,,,"(44.39319117400049, -89.81637074199966)",Less than high school,EDU,EDUHS
2011,2011,WY,Wyoming,28,,,Less than high school,,,,"(43.23554134300048, -108.10983035299967)",Less than high school,EDU,EDUHS
2011,2011,AL,Alabama,32.8,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",High school graduate,EDU,EDUHSGRAD
2011,2011,AK,Alaska,33.1,,,High school graduate,,,,"(64.84507995700051, -147.72205903599973)",High school graduate,EDU,EDUHSGRAD
2011,2011,AZ,Arizona,25.2,,,High school graduate,,,,"(34.865970280000454, -111.76381127699972)",High school graduate,EDU,EDUHSGRAD
2011,2011,AR,Arkansas,33,,,High school graduate,,,,"(34.74865012400045, -92.27449074299966)",High school graduate,EDU,EDUHSGRAD
2011,2011,CA,California,26.4,,,High school graduate,,,,"(37.63864012300047, -120.99999953799971)",High school graduate,EDU,EDUHSGRAD
2011,2011,CO,Colorado,23.5,,,High school graduate,,,,"(38.843840757000464, -106.13361092099967)",High school graduate,EDU,EDUHSGRAD
